央视频道,#genre#
NewTV精品大剧,http://120.210.193.151:8006/120000000058/GITV-AH-13/index.m3u8?channel-id=
NewTV军旅剧场,http://120.210.193.151:8006/120000000058/GITV-AH-14/index.m3u8?channel-id=
NewTV热播精选,http://120.210.193.151:8006/120000000058/GITV-AH-15/index.m3u8?channel-id=
NewTV军事评论,http://120.210.193.151:8006/120000000058/GITV-AH-16/index.m3u8?channel-id=
NewTV惊悚悬疑,http://120.210.193.151:8006/120000000058/GITV-AH-17/index.m3u8?channel-id=
NewTV爱情喜剧,http://120.210.193.151:8006/120000000058/GITV-AH-18/index.m3u8?channel-id=
NewTV金牌综艺,http://120.210.193.151:8006/120000000058/GITV-AH-19/index.m3u8?channel-id=
NewTV精品综合,http://120.210.193.151:8006/120000000058/GITV-AH-20/index.m3u8?channel-id=
NewTV动作电影,http://120.210.193.151:8006/120000000058/GITV-AH-21/index.m3u8?channel-id=
NewTV古装剧场,http://120.210.193.151:8006/120000000058/GITV-AH-22/index.m3u8?channel-id=
NewTV少儿动漫,http://120.210.193.151:8006/120000000058/GITV-AH-23/index.m3u8?channel-id=
